"id","code","name","parent_id/id","smcus_laba_rugi","smcus_zhr_report","smcus_zhr_cash_flow/id"
"__export__.account_account_110707","110707","PPh PASAL 25/29","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_110708","110708","PPh FINAL","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_12","12","AKTIVA TETAP","__export__.account_account_2","False","N/A",
"__export__.account_account_1201","1201","PERALATAN KANTOR","__export__.account_account_12","False","Neraca (Harta Tetap)",
"__export__.account_account_120101","120101","PERALATAN KANTOR FURNITURE","__export__.account_account_1201","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_120102","120102","PERALATAN KANTOR ELEKTRIKAL","__export__.account_account_1201","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_120103","120103","PERALATAN KANTOR ATK","__export__.account_account_1201","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_1322","120104","PERALATAN KANTOR IT","__export__.account_account_1201","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_1202","1202","AKUMULASI PENYUSUTAN","__export__.account_account_12","False","Neraca (Harta Tetap)",
"__export__.account_account_120201","120201","AKUMULASI PENYUSUTAN PERALATAN KANTOR FURNITURE","__export__.account_account_1202","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_120202","120202","AKUMULASI PENYUSUTAN PERALATAN KANTOR ELEKTRIKAL","__export__.account_account_1202","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_120203","120203","AKUMULASI PENYUSUTAN PERALATAN KANTOR ATK","__export__.account_account_1202","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_1323","120204","AKUMULASI PENYUSUTAN PERALATAN KANTOR IT","__export__.account_account_1202","False","Neraca (Harta Tetap)","smcus_account_report_zhr.1"
"__export__.account_account_13","13","AKTIVA","__export__.account_account_2","False","Neraca (Harta Tetap)",
"__export__.account_account_1301","1301","AKTIVA LAIN-LAIN","__export__.account_account_13","False","Neraca (Harta Lainnya)",
"__export__.account_account_130101","130101","BIAYA PRA OPERASI","__export__.account_account_1301","False","Neraca (Harta Lainnya)","smcus_account_report_zhr.2"
"__export__.account_account_130201","130102","AKUMULASI AMORTISASI BIAYA PRA OPERASI","__export__.account_account_1301","False","Neraca (Harta Lainnya)","smcus_account_report_zhr.2"
"__export__.account_account_130203","130103","UANG JAMINAN SEWA GUNA USAHA","__export__.account_account_1301","False","Neraca (Harta Lainnya)","smcus_account_report_zhr.2"
"__export__.account_account_21","21","HUTANG LANCAR","__export__.account_account_2","False","Neraca (Hutang Lancar)",
"__export__.account_account_2101","2101","HUTANG DAGANG","__export__.account_account_21","False","Neraca (Hutang Lancar)",
"__export__.account_account_210101","210101","HUTANG DAGANG LOKAL ","__export__.account_account_2101","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210102","210102","HUTANG DAGANG IMPOR","__export__.account_account_2101","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_1320","210103","HUTANG DAGANG JASA","__export__.account_account_2101","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_21020","2102","HUTANG BANK","__export__.account_account_21","False","Neraca (Hutang Lancar)",
"__export__.account_account_210201","210201","HUTANG BANK DANAMON","__export__.account_account_21020","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_2103","2103","HUTANG LAIN-LAIN","__export__.account_account_21","False","Neraca (Hutang Lancar)",
"__export__.account_account_2104","2104","HUTANG PAJAK","__export__.account_account_21","False","Neraca (Hutang Lancar)",
"__export__.account_account_210401","210401","HUTANG PPN KELUARAN","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210402","210402","HUTANG PPH PSL 21","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210403","210403","HUTANG PPH PSL 22","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210404","210404","HUTANG PPH PSL 23","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210405","210405","HUTANG PPH PSL 25/29","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210406","210406","HUTANG PPH PSL 26","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210407","210407","HUTANG PPN MASUKAN","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210408","210408","HUTANG PBB (PAJAK BUMI & BANGUNAN)","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210409","210409","HUTANG PAJAK LAINNYA","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_210410","210410","HUTANG PPH, PPN","__export__.account_account_2104","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_2106","2105","PENDAPATAN DITERIMA DIMUKA","__export__.account_account_21","False","Neraca (Hutang Lancar)",
"__export__.account_account_1324","210501","UANG MUKA DITERIMA","__export__.account_account_2106","False","Neraca (Hutang Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_31","31","MODAL","__export__.account_account_2","False","Neraca (Modal dan Laba Ditahan)",
"__export__.account_account_3101","3101","MODAL SAHAM","__export__.account_account_31","False","Neraca (Modal dan Laba Ditahan)",
"__export__.account_account_310101","310101","MODAL SAHAM WT","__export__.account_account_3101","False","Neraca (Modal dan Laba Ditahan)","smcus_account_report_zhr.3"
"__export__.account_account_32","32","LABA RUGI","__export__.account_account_2","False","Neraca (Modal dan Laba Ditahan)",
"__export__.account_account_3201","3201","LABA / RUGI","__export__.account_account_32","False","Neraca (Modal dan Laba Ditahan)",
"__export__.account_account_320101","320101","LABA / RUGI TAHUN LALU","__export__.account_account_3201","False","Neraca (Modal dan Laba Ditahan)","smcus_account_report_zhr.3"
"__export__.account_account_320102","320102","LABA / RUGI TAHUN BERJALAN","__export__.account_account_3201","TRUE","Neraca (Modal dan Laba Ditahan)","smcus_account_report_zhr.3"
"__export__.account_account_17","2","Profit and Loss","__export__.account_account_1","False","N/A",
"__export__.account_account_41","41","PENJUALAN DAN PENDAPATAN","__export__.account_account_17","False","N/A",
"__export__.account_account_4101","4101","PENJUALAN LOKAL","__export__.account_account_41","False","Laba Rugi (Pendapatan)",
"__export__.account_account_410101","410101","PENJUALAN LOKAL  (ELEKTRIKAL)","__export__.account_account_4101","False","Laba Rugi (Pendapatan)","smcus_account_report_zhr.12"
"__export__.account_account_410102","410102","PENJUALAN LOKAL  (AUTOMATION)","__export__.account_account_4101","False","Laba Rugi (Pendapatan)","smcus_account_report_zhr.12"
"__export__.account_account_1699","410103","PENJUALAN LOKAL (IT)","__export__.account_account_4101","False","Laba Rugi (Pendapatan)","smcus_account_report_zhr.12"
"__export__.account_account_1312","410104","PENJUALAN LOKAL JASA","__export__.account_account_4101","False","Laba Rugi (Pendapatan)","smcus_account_report_zhr.12"
