id,name,default_code,categ_id:id,description,type,lst_price,cost_method,valuation,taxes_id:id,supplier_taxes_id:id,uom_id,uom_po_id,sale_ok,purchase_ok,active
sparepart_076090010200,076090010200,"SPARKPLUG WR,12MM",wtc_product.categ_sparepart_tl,07609-0010200,product,326000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076000040000,076000040000,MECHANIC TRUSTER TOOLS,wtc_product.categ_sparepart_tl,07600-0040000,product,3824000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076000040001,076000040001,MECHANIC TRUSTER BOX,wtc_product.categ_sparepart_tl,07600-0040001,product,1329000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076000050000,076000050000,"EMBOS,PLATE BAWAH",wtc_product.categ_sparepart_tl,07600-0050000,product,79000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077240050002,077240050002,CLUTCH CENTER HOLDER,wtc_product.categ_sparepart_tl,07724-0050002,product,850000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077080030400,077080030400,"VALVE, ADJUSTER L",wtc_product.categ_sparepart_tl,07708-0030400,product,36000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_08000K61GLD,08000K61GLD,ACC BEAT POP GOLD,wtc_product.categ_sparepart_pacc,08000-K61-GLD,product,270000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_12100K25600,12100K25600,CYLINDER COMP.,wtc_product.categ_sparepart_ahm,12100-K25-600,product,275000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_19010K15902,19010K15902,RADIATOR COMP,wtc_product.categ_sparepart_ahm,19010-K15-902,product,750000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_50715K45N00,50715K45N00,"HOLDER, R. PILLION STEP",wtc_product.categ_sparepart_brake,50715-K45-N00,product,110000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
